SGBD,INSERT — TPS,INSERT — Tempo (s),INSERT — Lat. Média (ms),INSERT — p50 (ms),INSERT — p95 (ms),INSERT — p99 (ms),SELECT — TPS,SELECT — Tempo (s),SELECT — Lat. Média (ms),SELECT — p50 (ms),SELECT — p95 (ms),SELECT — p99 (ms)
SQLite,118402.4056,1.1392,0.0025,0.0018,0.0045,0.0064,74206.57,1.3478,0.0129,0.0126,0.0141,0.0193
MySQL,8433.97,11.947,0.1119,0.0946,0.1218,0.1391,8762.78,11.4174,0.1129,0.108,0.1361,0.1507
PostgreSQL,12064.18,8.2912,0.0824,0.0693,0.0927,0.108,14059.8078,7.1155,0.0699,0.066,0.085,0.0923
